GPSXSelect GPSYSelect GPSZSelect
-340.72 396.47 66.947
-340.85 399.88 67.005
-340.99 403.29 67.081
-340.99 403.29 67.081
-341.28 410.12 67.261
-341.28 410.12 67.261
-341.42 413.52 67.322
-341.42 413.52 67.322
-341.57 416.93 67.424
-341.72 420.34 67.521
-341.87 423.74 67.629
-342.03 427.15 67.753
-342.03 427.15 67.753
-342.03 427.15 67.753
-342.36 433.94 67.995
-342.36 433.94 67.995
-342.52 437.34 68.119
-342.68 440.73 68.244
-342.68 440.73 68.244
-342.85 444.13 68.365
-343.02 447.51 68.5
-343.19 450.9 68.61
-343.19 450.9 68.61
-343.36 454.29 68.718
-343.53 457.68 68.813
-343.53 457.68 68.813
-343.71 461.07 68.85
-343.88 464.47 68.842
-344.05 467.86 68.787
-344.05 467.86 68.787
-344.22 471.26 68.695
-344.39 474.66 68.58
-344.56 478.06 68.451
-344.56 478.06 68.451
-344.73 481.47 68.292
-344.91 484.89 68.12
-345.08 488.31 67.933
-345.08 488.31 67.933
-345.25 491.73 67.743
-345.25 491.73 67.743
-345.25 491.73 67.743
-345.59 498.6 67.353
-345.76 502.04 67.159
-345.76 502.04 67.159
-345.93 505.49 66.952
-345.93 505.49 66.952
-346.1 508.95 66.745
-346.27 512.41 66.543
-346.43 515.88 66.33
-346.6 519.35 66.13
-346.76 522.83 65.943
-346.91 526.32 65.752
-347.07 529.8 65.564
-347.07 529.8 65.564
-347.22 533.3 65.379
-347.36 536.8 65.194
-347.36 536.8 65.194
-347.5 540.3 65.021
-347.64 543.82 64.855
-347.64 543.82 64.855
-347.76 547.33 64.683
-347.88 550.85 64.539
-347.99 554.37 64.393
-347.99 554.37 64.393
-348.1 557.89 64.267
-348.19 561.42 64.173
-348.19 561.42 64.173
-348.28 564.94 64.114
-348.36 568.47 64.116
-348.43 571.99 64.139
-348.43 571.99 64.139
-348.49 575.51 64.201
-348.55 579.03 64.27
-348.55 579.03 64.27
-348.59 582.55 64.364
-348.62 586.06 64.499
-348.66 589.57 64.623
-348.66 589.57 64.623
-348.68 593.07 64.756
-348.7 596.56 64.932
-348.7 596.56 64.932
-348.69 600.06 65.099
-348.69 603.54 65.269
-348.68 607.03 65.423
-348.68 607.03 65.423
-348.65 610.5 65.582
-348.65 610.5 65.582
-348.62 613.97 65.758
-348.57 617.44 65.936
-348.51 620.9 66.102
-348.51 620.9 66.102
-348.45 624.36 66.263
-348.38 627.81 66.412
-348.28 631.26 66.573
-348.28 631.26 66.573
-348.17 634.7 66.743
-348.03 638.14 66.901
-348.03 638.14 66.901
-347.67 644.99 67.297
